,town_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
154,上野山２丁目,2,0,2,2,3,4,1,5,2,2,2,5,3,2,3,2,3,7,5,4,0,8,6,4,4,2,3,1,3,1,4,1,3,3,5,8,4,3,7,7,1,8,6,6,5,7,7,6,6,8,7,4,3,5,3,5,3,1,5,3,5,7,5,4,2,2,4,6,7,11,11,9,13,8,8,13,9,7,8,3,3,5,4,6,1,6,4,1,4,3,2,1,1,1,1,0,1,1,0,0,0,9,14,15,21,22,10,16,29,26,34,22,17,23,30,49,40,19,18,8
155,上野山３丁目,0,0,1,2,1,1,2,0,0,0,0,1,0,0,0,1,0,0,2,2,1,1,4,0,0,1,0,0,0,0,1,1,2,1,0,1,1,1,1,0,0,2,0,0,2,1,2,0,1,4,1,1,1,0,1,0,0,2,2,1,1,2,1,0,0,0,0,3,0,1,2,1,1,0,3,1,0,0,1,1,1,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,4,3,1,5,6,1,5,4,4,8,4,5,4,4,7,3,1,3,2
156,恵和町,2,1,3,5,3,8,8,7,5,3,4,3,3,6,0,2,2,2,6,5,3,8,5,5,5,2,6,1,8,3,4,7,4,4,5,12,8,6,6,14,6,7,9,7,11,8,8,10,10,8,11,9,9,5,10,7,14,7,8,3,6,7,3,5,5,7,12,8,9,17,14,13,10,8,9,9,13,5,7,18,12,10,16,11,17,11,10,10,10,9,8,12,4,3,7,4,2,5,5,2,5,14,31,16,17,26,20,24,46,40,44,44,39,26,53,54,52,66,50,57
157,越路,4,1,2,0,2,4,1,3,2,1,3,1,0,0,1,1,2,2,7,5,14,6,11,10,9,10,7,10,15,11,5,8,3,8,5,6,5,6,4,9,3,5,5,8,6,4,6,5,8,4,7,8,6,3,4,4,6,0,3,2,2,6,2,5,4,4,5,5,6,6,4,4,2,2,2,4,7,5,3,5,3,3,5,2,3,3,5,8,7,7,8,8,5,1,5,6,6,2,3,2,1,9,11,5,17,50,53,29,30,27,27,28,15,19,26,14,24,16,30,47
176,郡山（大字計）,12,13,11,10,16,14,10,9,9,14,11,13,13,13,10,7,13,9,10,7,17,10,11,12,6,18,11,15,23,22,18,10,17,12,15,8,18,15,19,22,18,17,10,20,14,21,15,29,13,19,14,17,13,12,12,22,12,16,16,9,10,15,12,9,21,18,19,22,24,15,21,21,18,16,11,7,9,13,8,7,5,4,10,7,9,3,4,9,4,1,3,2,4,1,1,1,1,0,0,1,1,62,56,60,46,56,89,72,82,79,97,68,75,67,98,87,44,35,21,15
177,郡山１丁目,5,6,6,11,4,3,10,4,3,2,4,3,4,4,4,2,2,8,6,5,9,3,3,3,3,3,4,2,8,8,8,11,6,10,6,7,12,7,13,2,16,10,12,10,16,6,9,14,11,7,9,5,13,4,12,8,11,7,7,6,12,10,11,13,11,8,17,14,15,12,19,18,15,9,9,14,16,13,11,8,7,4,8,4,7,7,2,1,3,1,3,2,1,1,0,0,0,1,0,1,0,32,22,19,23,21,25,41,41,64,47,43,39,57,66,70,62,30,14,9
178,郡山２丁目,3,5,5,10,6,5,5,5,4,6,5,5,4,4,6,6,5,6,6,6,8,2,6,8,5,6,7,11,7,8,10,8,8,6,13,7,10,7,8,13,15,9,4,10,9,9,9,5,4,6,5,8,6,2,7,5,5,5,9,6,5,7,7,2,13,8,5,7,6,6,7,7,12,8,3,7,8,5,4,3,6,3,6,6,4,8,7,4,4,3,2,5,1,3,2,1,0,2,2,1,0,29,25,24,29,29,39,45,45,47,33,28,30,34,32,37,27,25,26,19
179,郡山３丁目,7,5,9,12,6,2,0,4,8,3,9,2,2,3,6,3,6,6,9,5,6,12,6,9,15,4,8,13,10,17,5,13,13,12,11,8,12,11,10,9,14,7,9,7,7,10,6,7,12,6,10,14,7,7,6,15,9,15,5,6,6,12,8,11,5,10,2,10,11,11,14,9,13,11,3,3,4,5,6,7,6,7,3,8,6,3,6,6,4,1,5,2,1,4,2,2,1,0,1,3,2,39,17,22,29,48,52,54,50,44,41,44,50,42,44,50,25,30,20,23
180,郡山４丁目,6,5,7,8,3,4,2,10,4,3,5,6,7,7,1,4,5,11,2,6,5,4,5,5,5,6,6,5,5,5,9,9,6,4,4,8,12,9,8,8,2,7,12,5,5,11,11,8,10,8,11,11,9,3,7,7,7,3,9,13,5,4,5,6,4,2,9,11,7,8,7,10,6,1,1,1,4,3,4,3,2,5,6,1,5,5,2,2,0,1,2,3,1,0,0,2,1,0,1,0,0,29,23,26,28,24,27,32,45,31,48,41,39,24,37,25,15,19,10,10
181,郡山５丁目,6,8,3,13,10,7,11,13,8,6,7,5,7,6,8,5,5,3,5,5,5,5,9,7,6,8,12,9,15,8,11,4,10,9,9,11,9,14,7,7,11,8,12,8,17,7,13,14,9,11,6,7,3,10,7,9,9,4,9,9,4,6,6,3,4,8,5,6,6,8,17,6,5,2,2,5,9,3,8,5,3,1,6,2,2,6,5,5,8,3,2,3,1,1,0,0,1,2,0,1,1,40,45,33,23,32,52,43,48,56,54,33,40,23,33,32,30,14,27,12
182,郡山６丁目,9,8,6,10,6,5,11,7,12,7,8,6,9,4,8,7,5,10,7,6,7,10,10,7,3,12,10,16,15,7,10,9,10,10,10,14,4,17,13,8,11,18,14,15,9,18,11,15,12,20,13,25,15,13,13,15,15,15,7,14,14,10,13,14,14,4,18,15,16,10,16,21,15,10,7,17,6,8,15,11,9,3,6,11,5,6,3,13,3,2,3,0,1,1,1,0,0,0,1,1,0,39,42,35,35,37,60,49,56,67,76,79,66,65,63,69,57,34,27,8
183,郡山７丁目,7,2,6,6,6,7,4,7,8,2,6,7,3,7,3,7,3,3,7,5,6,8,7,7,6,8,11,6,13,6,9,9,11,8,14,4,9,7,7,7,12,9,13,11,8,8,11,14,5,8,6,8,8,6,8,9,4,5,8,6,6,8,1,6,7,5,7,7,4,10,6,12,8,6,4,6,10,7,4,1,6,6,2,3,5,7,3,5,1,4,2,2,2,2,0,0,2,1,1,0,0,27,28,26,25,34,44,51,34,53,46,36,32,28,33,36,28,22,20,12
184,郡山８丁目,3,10,7,7,4,4,6,7,6,13,10,12,9,5,11,14,11,13,5,13,12,11,12,5,11,9,12,11,6,10,10,13,11,9,13,12,13,10,13,13,11,15,6,21,17,13,27,20,17,20,16,30,14,16,22,15,21,14,17,16,12,9,11,11,12,14,13,15,8,11,15,16,8,11,7,15,11,16,9,7,8,6,11,5,5,8,3,5,4,3,3,1,2,1,0,1,2,0,0,0,0,31,36,47,56,51,48,56,61,70,97,98,83,55,61,57,58,35,23,10
185,金剛沢１丁目,3,5,3,7,8,4,7,13,10,6,12,5,6,7,6,4,8,6,9,7,4,7,8,3,3,9,10,9,7,4,6,7,6,14,10,8,11,9,11,10,11,12,15,10,9,13,7,11,11,17,7,4,8,10,8,9,12,8,9,11,8,9,10,10,9,6,11,14,15,12,14,16,16,9,9,9,11,9,6,9,5,7,9,8,6,6,4,11,4,2,6,1,0,5,2,1,2,4,2,1,0,26,40,36,34,25,39,43,49,57,59,37,49,46,58,64,44,35,27,24
186,金剛沢２丁目,3,3,4,3,5,8,2,7,6,7,3,3,3,5,6,4,6,7,8,4,5,2,2,2,3,2,3,1,2,4,6,2,3,4,6,8,7,3,6,9,11,9,7,4,6,6,7,13,13,2,10,8,4,3,3,4,2,1,6,10,3,12,7,6,13,6,6,5,8,11,12,11,10,8,8,11,9,6,9,3,2,5,6,5,4,2,4,2,4,2,3,3,2,1,1,0,1,0,0,1,0,18,30,20,29,14,12,21,33,37,41,28,23,41,36,49,38,22,14,12
187,金剛沢３丁目,2,2,3,2,2,3,1,2,3,3,1,2,2,0,1,2,5,2,5,3,4,2,2,5,3,2,2,4,3,3,1,6,4,7,11,4,7,3,5,6,4,4,3,10,4,4,7,9,6,6,4,3,2,7,6,6,5,6,9,5,6,6,10,18,6,8,10,6,5,10,5,17,16,11,2,8,6,6,3,3,4,3,6,7,2,6,3,3,5,2,3,7,1,0,3,1,1,0,0,0,1,11,12,6,17,16,14,29,25,25,32,22,31,46,39,51,26,22,19,17
188,桜木町,2,2,5,2,3,4,4,5,2,3,5,2,1,6,6,2,1,8,2,4,7,6,6,8,4,6,6,5,9,6,3,5,4,11,6,5,10,8,5,6,5,5,9,9,5,8,6,9,6,8,6,14,4,6,9,13,1,7,7,11,3,10,7,10,8,13,8,6,8,12,6,8,11,10,11,12,9,12,3,9,9,9,7,8,5,11,13,6,7,5,4,3,4,3,2,3,0,1,1,1,3,14,18,20,17,31,32,29,34,33,37,39,39,38,47,46,45,38,42,25
189,佐保山,0,2,1,1,1,3,0,1,0,2,1,1,4,0,2,2,2,1,3,4,8,5,2,1,3,3,5,1,1,1,2,4,1,5,1,2,4,2,4,2,2,3,0,6,5,3,3,3,7,3,4,10,6,2,4,5,1,3,7,4,2,4,0,3,2,4,4,2,4,7,4,4,3,3,1,4,1,3,5,4,2,2,3,1,1,3,0,1,0,2,2,0,0,1,0,0,0,0,0,0,0,5,6,8,12,19,11,13,14,16,19,26,20,11,21,15,17,9,6,3
214,四郎丸（大字計）,26,27,30,29,44,38,47,40,43,35,57,48,46,39,37,50,43,49,36,50,50,47,42,48,37,43,33,39,39,29,42,47,42,47,53,51,38,59,52,48,79,65,64,59,84,72,71,73,46,57,60,65,62,56,48,53,49,53,54,51,55,68,51,65,40,55,62,74,76,83,98,92,83,72,59,63,58,67,67,53,45,49,56,55,50,45,37,33,26,31,11,18,13,8,12,4,4,1,4,3,2,156,203,227,228,224,183,231,248,351,319,291,260,279,350,404,308,255,172,80
215,砂押町,3,7,3,8,3,3,3,1,9,4,3,3,3,4,4,2,0,8,2,1,6,5,8,6,3,9,7,6,17,6,9,7,12,11,7,6,6,9,9,8,6,7,10,6,7,8,7,6,4,9,9,4,10,6,4,2,10,8,9,7,5,4,3,6,2,5,9,2,5,4,9,4,5,3,9,3,2,3,5,4,4,9,5,8,1,4,8,4,3,4,3,3,1,1,1,3,1,0,0,0,0,24,20,17,13,28,45,46,38,36,34,33,36,20,25,30,17,27,23,13
