,town_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+
99,小田原弓ノ町,1,3,7,10,12,7,11,4,7,8,6,8,6,8,1,12,2,2,11,2,5,1,4,10,10,8,8,10,4,1,5,4,9,5,13,6,16,9,11,8,17,13,7,10,13,11,19,7,9,2,12,10,5,3,5,4,4,6,4,2,7,2,2,7,6,2,2,0,3,5,3,3,2,4,0,1,4,2,1,1,0,1,1,2,0,2,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0
100,蟹沢,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,蒲生,9,5,8,7,6,4,4,6,6,9,9,7,10,7,11,10,6,10,13,17,8,12,17,10,11,10,7,10,7,13,13,10,4,17,11,7,13,8,10,6,12,13,15,14,14,20,17,13,20,22,16,11,12,15,11,25,13,13,17,13,16,20,18,12,11,17,14,8,21,22,21,14,19,13,7,13,7,12,12,8,6,6,6,4,3,3,3,4,1,4,1,2,0,0,2,0,0,0,0,0,0
130,蒲生１丁目,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
131,蒲生２丁目,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
132,車町,5,6,6,9,4,2,8,0,3,2,3,1,0,3,1,2,3,2,1,2,1,0,1,1,2,3,4,4,5,6,5,5,6,10,4,8,9,4,6,8,7,0,7,3,2,7,6,4,1,3,2,4,7,2,4,5,2,2,2,1,2,0,1,1,1,1,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,小鶴,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,小鶴１丁目,7,7,7,3,9,4,5,6,1,1,1,4,3,1,7,1,1,3,2,5,4,3,4,3,6,6,10,5,4,7,2,6,6,7,4,12,5,8,2,3,5,6,3,5,9,10,2,7,5,4,6,7,3,6,9,5,5,6,4,7,3,6,12,5,2,7,5,5,2,4,4,4,11,6,3,2,3,6,4,2,2,1,4,2,4,4,2,0,3,2,1,0,0,0,0,0,0,0,0,0,0
137,小鶴２丁目,5,8,6,2,5,0,3,0,1,0,0,0,0,2,3,2,1,0,0,4,0,3,2,1,2,4,2,8,5,3,5,7,7,7,6,5,8,7,5,4,5,4,5,7,7,6,5,4,4,3,4,3,5,4,3,2,2,3,7,3,2,3,3,6,2,5,3,3,2,3,2,0,6,2,1,2,3,3,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
138,小鶴３丁目,5,3,3,2,1,5,3,5,1,5,0,6,3,2,3,3,4,3,5,4,2,3,5,1,4,4,5,5,5,7,4,4,4,9,5,5,5,2,7,3,2,6,5,1,2,4,5,4,2,4,4,4,1,3,4,4,4,3,1,3,5,1,3,5,2,3,4,2,2,4,4,5,2,1,1,4,2,1,2,3,3,2,0,2,1,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
139,五輪１丁目,5,6,8,7,4,3,5,9,8,3,11,6,10,4,8,9,13,7,8,5,8,6,7,8,11,7,7,10,17,15,10,9,13,14,9,11,7,6,11,7,18,11,15,9,16,27,11,13,11,11,7,13,7,12,12,13,9,10,5,12,7,7,8,10,12,8,8,7,12,7,12,4,9,14,6,6,7,4,9,3,3,3,7,0,5,5,1,1,0,1,1,0,1,0,1,1,0,2,0,0,0
140,五輪２丁目,10,6,5,9,9,7,7,8,6,9,2,8,6,4,7,7,5,8,6,7,7,8,9,15,12,17,16,11,22,24,15,11,6,18,19,18,15,23,15,10,9,13,13,14,12,11,14,23,15,17,8,20,17,15,15,10,8,10,12,15,14,6,12,7,13,8,10,15,14,13,12,18,15,10,6,12,9,9,6,3,5,5,4,5,5,5,2,2,1,1,0,1,1,0,0,0,0,0,0,0,0
141,幸町１丁目,2,4,5,3,1,4,4,8,7,4,6,1,4,2,4,2,4,3,4,5,5,8,4,2,4,6,7,7,5,8,5,6,2,12,6,9,7,9,8,7,7,7,4,12,9,6,11,10,7,6,10,7,8,6,5,11,4,3,3,3,4,9,6,7,5,9,5,9,9,8,7,4,9,3,2,7,4,3,2,1,2,0,3,0,1,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0
142,幸町２丁目,9,14,10,9,16,17,18,17,21,19,16,22,16,19,16,19,22,15,18,19,18,19,20,17,13,19,15,15,15,11,14,18,17,19,14,29,18,20,19,27,29,24,28,35,41,30,32,30,29,24,32,24,17,22,27,22,14,22,15,13,12,14,12,17,24,10,12,19,11,21,16,19,11,13,7,8,13,7,8,6,2,9,5,6,7,3,4,1,4,3,2,1,1,0,0,2,0,0,0,0,0
143,幸町３丁目,9,12,8,10,6,4,18,7,10,1,6,8,8,4,3,8,3,9,11,13,12,8,8,18,18,4,14,16,8,9,6,17,9,12,21,7,13,11,10,18,10,12,13,22,15,17,22,16,19,16,22,13,14,13,13,17,13,12,11,12,12,13,14,11,14,15,9,15,15,15,15,13,21,16,2,10,10,15,7,7,3,5,3,5,2,11,3,4,3,3,3,1,0,1,2,0,0,0,0,0,0
144,幸町４丁目,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
145,幸町５丁目,2,2,7,2,10,4,3,8,7,6,10,5,5,6,6,9,12,11,14,8,11,5,7,2,3,4,3,6,2,4,2,5,6,3,2,7,6,5,5,5,10,11,9,11,11,7,10,12,12,11,8,11,13,12,15,10,9,11,12,9,9,5,11,4,11,2,7,6,6,5,10,6,4,3,0,5,6,5,6,1,4,2,5,2,4,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
146,栄１丁目,0,1,1,5,1,1,3,4,1,2,3,4,5,3,4,1,4,3,4,2,4,6,2,6,6,4,1,5,5,3,5,1,1,3,2,1,4,4,3,5,1,1,4,7,10,5,4,7,5,11,1,7,6,11,3,4,4,5,4,3,2,4,1,2,3,1,4,1,8,4,5,4,1,2,1,2,6,3,4,3,1,0,1,2,4,0,3,2,0,0,2,1,1,0,0,0,0,0,0,0,0
147,栄２丁目,9,11,5,6,7,5,7,8,4,4,6,5,5,9,5,10,15,8,5,9,15,9,18,8,3,7,9,12,10,8,14,10,11,8,12,12,15,11,9,10,8,5,13,16,14,17,9,8,16,11,12,15,11,6,8,7,8,9,12,5,9,7,14,7,5,13,4,10,12,6,11,7,10,9,5,8,7,8,4,1,7,7,7,6,0,6,0,2,1,2,0,3,0,1,0,0,0,0,0,0,0
148,栄３丁目,3,3,3,0,1,5,2,2,1,4,5,4,2,6,1,3,4,2,4,2,3,5,5,2,6,1,1,5,2,6,3,7,1,5,2,3,6,5,4,3,1,9,4,7,6,4,5,10,11,6,1,6,1,5,3,5,3,4,8,1,3,7,3,1,4,4,5,7,6,5,5,6,5,3,4,6,6,5,5,1,3,3,2,3,1,4,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0
149,栄４丁目,4,5,8,3,4,7,7,6,7,4,4,7,6,10,5,6,6,10,5,8,11,7,4,11,5,5,11,5,10,8,8,10,11,6,7,10,8,8,7,8,7,15,7,5,13,20,9,11,10,15,12,8,9,11,8,8,11,7,11,10,7,10,8,6,3,7,3,10,6,9,10,10,5,10,4,5,4,4,9,4,2,3,7,5,5,0,2,0,1,3,0,0,3,0,0,0,0,0,0,0,0
150,栄５丁目,2,3,4,5,4,5,4,2,7,4,4,2,4,1,8,6,11,7,3,7,2,4,9,5,6,10,9,3,4,8,3,14,7,7,13,4,8,9,3,8,5,9,9,5,5,5,8,10,7,11,10,8,3,10,8,9,12,11,12,10,9,9,9,10,4,6,4,4,4,10,5,6,3,4,4,2,2,3,4,4,2,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
151,清水沼１丁目,2,3,5,1,1,3,1,1,1,0,3,2,1,1,3,2,1,1,3,5,4,4,1,4,3,8,4,5,5,5,7,4,3,9,5,6,2,2,8,3,6,3,7,8,2,6,5,7,3,5,1,3,7,3,1,3,6,3,4,4,3,3,2,5,4,2,1,6,2,5,4,4,5,3,2,1,2,3,2,1,3,0,0,2,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
152,清水沼２丁目,1,2,1,3,3,2,2,4,4,5,5,5,7,4,2,3,3,5,2,3,12,6,15,9,10,10,7,3,9,6,9,9,9,7,2,6,9,14,7,9,9,6,6,3,11,8,8,7,17,10,7,9,11,4,4,3,6,9,5,10,5,7,5,5,4,8,4,8,4,7,9,10,4,6,3,2,2,8,3,3,1,3,5,1,1,4,4,3,1,1,1,1,0,1,1,0,0,0,0,0,0
153,清水沼３丁目,2,6,4,4,5,5,7,7,8,4,1,3,4,3,5,1,1,5,6,5,8,5,4,6,6,4,9,7,5,8,6,8,7,10,9,10,6,12,8,10,2,7,6,7,5,9,7,6,7,10,5,10,8,3,7,9,1,6,5,10,8,6,9,2,2,3,6,12,3,6,9,5,4,1,1,8,2,1,1,5,4,2,1,1,0,0,1,1,2,4,0,1,1,0,0,0,0,0,0,0,0
154,白鳥１丁目,5,3,3,5,3,3,8,7,10,6,6,6,6,9,6,7,9,15,8,11,11,13,10,17,9,10,8,11,17,8,10,13,10,9,5,19,16,12,12,9,7,19,13,14,13,16,17,17,22,18,12,24,22,13,10,16,15,16,13,19,15,11,13,12,13,10,17,17,19,17,18,20,19,10,10,15,10,6,6,6,5,8,4,2,7,3,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0
155,白鳥２丁目,6,3,5,5,5,5,4,4,3,3,2,1,3,5,6,6,2,6,4,2,0,5,3,3,8,3,11,9,10,7,8,11,5,6,5,7,7,11,9,16,9,10,11,16,7,12,3,6,7,9,4,4,8,4,3,6,5,6,10,5,6,6,4,5,3,8,10,10,12,10,11,12,16,10,6,9,6,2,7,4,2,3,4,0,1,6,3,1,3,3,2,0,0,0,0,0,0,0,0,0,0
156,新田１丁目,8,8,10,7,5,7,9,3,5,6,7,8,2,7,5,4,5,6,9,10,12,10,10,11,17,13,11,21,16,17,20,23,14,12,26,14,18,7,16,16,14,12,16,20,16,18,16,22,13,12,21,13,16,18,22,11,15,9,16,8,11,15,14,17,16,14,9,13,12,13,10,12,11,13,4,8,12,3,5,4,1,6,5,4,3,8,7,5,3,4,3,1,2,2,0,1,1,0,1,0,0
157,新田２丁目,6,10,10,8,11,8,9,10,8,5,7,8,10,6,7,3,8,7,11,7,18,9,7,11,8,18,11,16,15,13,10,10,18,12,19,11,16,13,16,14,23,21,23,18,23,17,24,17,24,21,10,24,15,9,18,14,13,8,9,14,9,10,7,8,9,9,13,10,9,10,16,20,11,10,9,5,7,4,5,10,5,5,4,3,0,5,1,2,3,1,2,0,0,0,0,1,0,1,0,0,1
158,新田３丁目,11,7,15,9,5,13,11,12,13,11,13,9,15,5,7,8,7,5,8,9,9,9,8,11,11,12,8,17,7,20,13,13,10,19,19,7,9,12,15,19,13,13,21,23,9,19,20,15,13,18,22,21,10,11,7,16,12,10,8,8,5,5,5,7,5,6,7,8,13,10,8,12,5,6,5,4,9,5,8,4,3,2,3,6,4,2,3,1,1,1,4,3,1,1,0,0,0,0,0,0,0
159,新田４丁目,18,24,15,17,18,11,13,10,12,8,18,12,15,5,17,13,12,8,12,14,8,10,12,23,27,16,25,20,22,30,20,33,29,20,32,28,24,39,28,27,19,20,17,23,24,27,22,32,32,37,24,25,20,21,22,9,15,15,15,14,16,17,21,7,12,13,18,10,9,16,15,11,13,11,7,7,5,6,5,6,9,2,6,3,3,6,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0
160,新田５丁目,7,8,3,8,5,7,6,5,5,2,3,4,6,2,15,6,8,2,6,4,9,10,9,7,8,9,12,14,10,6,11,15,7,6,13,10,6,11,17,8,8,8,12,12,11,15,7,9,17,12,12,9,10,7,9,10,7,12,11,9,8,6,5,4,7,11,3,5,7,7,3,7,3,5,3,2,1,5,2,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
161,新田東１丁目,13,1,6,7,5,7,6,8,12,10,7,8,5,10,3,13,2,7,9,4,5,5,3,6,1,3,5,11,9,16,10,6,4,5,10,7,9,5,10,11,9,16,16,11,13,14,15,14,13,10,13,12,9,10,6,8,5,5,8,6,3,6,4,1,1,3,3,4,1,3,2,3,1,2,1,4,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,新田東２丁目,26,20,20,23,25,21,14,18,20,25,26,25,29,28,30,19,17,27,14,13,9,11,15,13,14,17,18,18,18,21,23,25,16,27,18,26,29,17,18,33,43,34,36,45,37,46,41,46,41,45,42,37,34,19,24,18,13,16,18,19,10,8,9,14,5,9,7,3,8,5,5,10,5,2,4,0,2,3,0,2,3,2,2,0,1,0,1,2,0,0,0,2,1,1,1,0,0,1,0,0,0
163,新田東３丁目,5,5,5,7,5,10,4,4,5,6,3,2,6,2,6,8,2,3,2,4,1,3,4,5,10,8,13,5,13,9,5,3,6,9,9,8,15,11,7,9,9,16,10,14,11,13,14,12,15,12,6,6,12,5,10,4,6,8,5,3,5,5,3,2,1,4,1,1,4,2,2,4,2,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,新田東４丁目,1,1,3,3,2,1,2,3,1,0,3,1,3,4,5,1,0,1,3,0,1,2,2,1,4,0,0,0,0,0,0,2,2,1,2,2,4,0,5,2,6,6,5,5,5,5,4,2,4,5,0,4,6,2,0,2,1,3,0,1,1,1,3,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,新田東５丁目,4,4,6,5,0,7,0,6,7,4,3,5,4,11,2,3,6,2,3,1,5,2,3,0,4,5,1,7,5,5,9,0,3,7,6,3,8,4,2,4,5,3,5,6,11,6,5,5,7,3,6,6,7,3,5,2,1,0,2,4,0,3,1,2,3,1,0,0,1,3,0,1,1,0,2,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,自由ケ丘,1,9,6,6,7,4,5,6,3,11,3,5,3,7,4,5,5,7,3,4,6,4,3,2,2,2,12,8,6,8,4,5,4,7,6,7,9,4,2,4,10,9,8,11,8,15,9,13,5,11,13,8,14,4,15,4,9,11,12,7,6,8,5,6,8,6,4,9,3,5,10,5,7,6,7,6,5,2,5,10,7,2,2,6,5,3,4,4,7,4,2,1,2,0,2,1,2,1,1,0,0
167,仙石,2,0,2,3,3,1,3,2,2,3,2,3,4,2,8,5,2,7,7,6,2,5,1,3,1,5,4,4,4,4,2,11,4,2,8,4,3,8,6,4,1,3,3,7,7,8,8,5,7,10,3,4,4,5,1,6,5,5,9,13,10,3,9,13,6,11,10,6,18,4,9,9,8,10,5,5,3,5,4,2,5,1,3,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
